DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,AT,2000,18096,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,AT,2001,18038,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,AT,2002,18604,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,AT,2003,19575,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,AT,2004,20217,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,AT,2005,21540,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,AT,2006,22504,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,AT,2007,23128,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,AT,2008,23767,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,AT,2009,23554,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,AT,2010,23763,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,AT,2011,24130,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,AT,2012,24889,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,AT,2013,24913,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,AT,2014,25108,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,AT,2015,25202,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,AT,2016,25634,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,AT,2017,26041,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,AT,2018,26639,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,AT,2019,27352,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,AT,2020,26811,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,AT,2021,28252,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BE,2000,17072,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BE,2001,17746,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BE,2002,18280,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BE,2003,18555,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BE,2004,18779,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BE,2005,19479,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BE,2006,20226,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BE,2007,20723,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BE,2008,21724,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BE,2009,21592,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BE,2010,21935,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BE,2011,22347,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BE,2012,22762,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BE,2013,23186,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BE,2014,23574,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BE,2015,23872,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BE,2016,23933,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BE,2017,24487,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BE,2018,25064,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BE,2019,25934,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BE,2020,26524,p
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BE,2021,27726,p
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BG,2000,3868,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BG,2001,4051,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BG,2002,4586,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BG,2003,4989,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BG,2004,5240,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BG,2005,5630,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BG,2006,5985,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BG,2007,6444,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BG,2008,7435,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BG,2009,7369,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BG,2010,7726,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BG,2011,8514,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BG,2012,8590,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BG,2013,8981,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BG,2014,9361,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BG,2015,9657,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BG,2016,10088,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,BG,2017,10508,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,CH,2000,20122,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,CH,2001,20932,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,CH,2002,21123,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,CH,2003,21122,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,CH,2004,21747,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,CH,2005,22612,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,CH,2006,23969,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,CH,2007,26108,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,CH,2008,27100,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,CH,2009,27080,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,CH,2010,26786,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,CH,2011,27177,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,CH,2012,27731,
ESTAT:SDG_10_20(1.0),28/11/22 11:00:00,A,PPS_EU27_2020_HAB,CH,2013,28516,
