"Table 102.30. Median household income, by state: Selected years, 1990 through 2017",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
[In constant 2017 dollars. Standard errors appear in parentheses],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1990\1\,2000\2\,2005.0,,2010.0,,2013.0,,2014.0,,2015.0,,2016.0,,2017.0,,,,,,,,,,,,,,,,
1,2,3,4.0,,5.0,,6.0,,7.0,,8.0,,9.0,,10.0,,,,,,,,,,,,,,,, 
   United States ...........,57500,62000,58200.0,80.0,56400.0,40.0,55100.0,40.0,55600.0,60.0,55800.0,50.0,58900.0,70.0,60300.0,50.0,,,,,,,,,,,,,,,
Alabama ....................,45200,50400,46400.0,400.0,45600.0,320.0,45200.0,410.0,44400.0,380.0,46300.0,470.0,47300.0,420.0,48100.0,470.0,,,,,,,,,,,,,,,
Alaska .......................,79300,76100,70800.0,1380.0,72800.0,1430.0,76100.0,1210.0,74200.0,1120.0,75900.0,1460.0,78100.0,1380.0,73200.0,1600.0,,,,,,,,,,,,,,,
Arizona ......................,52700,59900,55700.0,490.0,52700.0,360.0,51100.0,380.0,51900.0,300.0,53300.0,270.0,54700.0,390.0,56600.0,310.0,,,,,,,,,,,,,,,
Arkansas ...................,40500,47500,44000.0,460.0,43200.0,440.0,42700.0,450.0,42800.0,410.0,43500.0,300.0,45300.0,570.0,45900.0,460.0,,,,,,,,,,,,,,,
California ...................,68500,70100,67500.0,250.0,65000.0,240.0,63400.0,160.0,64200.0,150.0,66700.0,250.0,69200.0,220.0,71800.0,180.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorado ....................,57700,69700,63700.0,420.0,60900.0,500.0,62000.0,520.0,63500.0,310.0,66100.0,560.0,67100.0,390.0,69100.0,470.0,,,,,,,,,,,,,,,
Connecticut ................,79900,79600,76700.0,620.0,72100.0,750.0,70700.0,680.0,72600.0,520.0,73800.0,490.0,75000.0,660.0,74200.0,820.0,,,,,,,,,,,,,,,
Delaware ....................,66800,69900,66100.0,1080.0,62900.0,1030.0,61000.0,1200.0,61900.0,1050.0,63400.0,810.0,63100.0,930.0,62900.0,1500.0,,,,,,,,,,,,,,,
District of Columbia .....,58800,59200,59400.0,1480.0,68600.0,1050.0,71200.0,2170.0,74300.0,1260.0,78300.0,1570.0,77100.0,2120.0,82400.0,1610.0,,,,,,,,,,,,,,,
Florida ........................,52600,57300,53400.0,210.0,50000.0,220.0,48500.0,200.0,49200.0,210.0,51100.0,210.0,52000.0,150.0,52600.0,220.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia ........................,55500,62600,57400.0,340.0,52300.0,320.0,50400.0,400.0,51100.0,340.0,53000.0,230.0,54700.0,440.0,56200.0,350.0,,,,,,,,,,,,,,,
Hawaii ........................,74300,73500,73100.0,1510.0,71000.0,1070.0,71700.0,980.0,72100.0,920.0,76000.0,1270.0,76100.0,1100.0,77800.0,1090.0,,,,,,,,,,,,,,,
Idaho ..........................,48300,55500,52100.0,640.0,49000.0,690.0,49300.0,600.0,49600.0,800.0,49900.0,690.0,52900.0,600.0,52200.0,530.0,,,,,,,,,,,,,,,
Illinois ..........................,61700,68800,63200.0,260.0,59700.0,300.0,59200.0,260.0,59500.0,270.0,61700.0,320.0,62300.0,240.0,63000.0,330.0,,,,,,,,,,,,,,,
Indiana ........................,55100,61300,55400.0,380.0,50300.0,310.0,50100.0,330.0,51200.0,310.0,52300.0,240.0,53400.0,230.0,54200.0,400.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa ...........................,50200,58300,54900.0,400.0,54000.0,440.0,55100.0,340.0,55700.0,480.0,56600.0,500.0,57500.0,430.0,58600.0,520.0,,,,,,,,,,,,,,,
Kansas .........................,52200,60000,54000.0,560.0,54400.0,600.0,53700.0,390.0,54400.0,440.0,55800.0,550.0,56100.0,550.0,56400.0,430.0,,,,,,,,,,,,,,,
Kentucky ....................,43100,49700,47000.0,370.0,45100.0,340.0,45700.0,420.0,44500.0,440.0,46800.0,300.0,47700.0,370.0,48400.0,380.0,,,,,,,,,,,,,,,
Louisiana ....................,42000,48100,46200.0,440.0,47900.0,480.0,46500.0,560.0,46200.0,460.0,47300.0,420.0,46100.0,480.0,46100.0,390.0,,,,,,,,,,,,,,,
Maine .........................,53300,55000,53900.0,740.0,51600.0,650.0,49500.0,510.0,51300.0,700.0,53300.0,540.0,54200.0,860.0,56300.0,710.0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maryland ....................,75400,78000,77500.0,460.0,77600.0,630.0,76400.0,460.0,76700.0,550.0,78500.0,370.0,80600.0,460.0,80800.0,430.0,,,,,,,,,,,,,,,
Massachusetts ...........,70700,74500,72000.0,530.0,69900.0,280.0,70400.0,460.0,71700.0,600.0,73100.0,390.0,76900.0,480.0,77400.0,550.0,,,,,,,,,,,,,,,
Michigan .....................,59400,65900,57900.0,340.0,51200.0,210.0,50900.0,240.0,51700.0,240.0,52900.0,150.0,53600.0,250.0,54900.0,270.0,,,,,,,,,,,,,,,
