DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,AT,2009,654.3,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,AT,2012,695.3,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,AT,2015,703.6,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,AT,2018,740.1,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,BE,2009,572.5,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,BE,2012,537.8,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,BE,2015,581.6,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,BE,2018,583.5,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,BG,2012,468.5,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,BG,2015,613.5,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,BG,2018,623.4,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,CY,2012,787.8,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,CY,2015,977.2,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,CY,2018,939.0,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,CZ,2009,623.6,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,CZ,2012,588.4,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,CZ,2015,616.1,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,CZ,2018,634.4,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,DE,2009,526.6,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,DE,2012,553.4,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,DE,2015,564.8,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,DE,2018,586.7,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,DK,2009,969.6,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,DK,2012,1021,
ESTAT:SDG_11_31(1.0),08/02/21 23:00:00,A,M2_HAB,DK,2015,1052.3,
